Question,Answer_choice,Correct_or_not
10. Meig & APOS; The eyelid symptoms of S syndrome are (  ),E. Mechanical eyelid turning,0
11. The most common reasons for adult eyeballs (  ),A. Obilus honeycomb wovenitis,0
11. The most common reasons for adult eyeballs (  ),B. Thyroid-related eye disease,1
11. The most common reasons for adult eyeballs (  ),C. Neurological fibroma,0
11. The most common reasons for adult eyeballs (  ),D. Gelatinoma,0
11. The most common reasons for adult eyeballs (  ),E. sponge hemangioma,0
12. The description of the anatomy of the orbits is incorrect.,"A. The inner wall is adjacent to the sieve, there is a frontal sinus in the inner wall, and the upper maxillary sinus is below",0
12. The description of the anatomy of the orbits is incorrect.,B. 7 bones make up the orbits,0
12. The description of the anatomy of the orbits is incorrect.,C. The top wall of the orbital is separated from the cranial fossa from the skull,0
12. The description of the anatomy of the orbits is incorrect.,D. The appearance of the eyebrows is irregularly circular,1
12. The description of the anatomy of the orbits is incorrect.,"E. In addition to the nerves and vascular channels, the orbit is not connected with the sinus and the cranial cavity",0
13. What shaped bone empty (is the eyebrow (  ),A. Oval,0
13. What shaped bone empty (is the eyebrow (  ),B. trapezoidal,0
13. What shaped bone empty (is the eyebrow (  ),C.,1
13. What shaped bone empty (is the eyebrow (  ),D. cone,0
13. What shaped bone empty (is the eyebrow (  ),E. Cube,0
14. The following description of sponge-like hemangioma is correct (  ),A. How incomplete envelopes,0
14. The following description of sponge-like hemangioma is correct (  ),B. The tumor contains smooth muscles,1
14. The following description of sponge-like hemangioma is correct (  ),C. Often affects vision,0
14. The following description of sponge-like hemangioma is correct (  ),D.A ultra-internal reflection is medium and low waves,0
14. The following description of sponge-like hemangioma is correct (  ),E. Most can be spontaneously disappeared,0
15. The incorrect meningioma of the series is (  ),A. More common in middle-aged women,0
15. The incorrect meningioma of the series is (  ),"B. Easy relapse, most of them are malignant",1
15. The incorrect meningioma of the series is (  ),C. Imaging performance is diverse,0
15. The incorrect meningioma of the series is (  ),D. Treatment is mainly surgery,0
15. The incorrect meningioma of the series is (  ),E. It occurs in children and the prognosis is worse,0
"16. Regarding the characteristics of the orbital X-ray, which is correct (  )",A. Eye expansion is generally malignant lesions,0
"16. Regarding the characteristics of the orbital X-ray, which is correct (  )",B. Obilus bone destruction is also common in benign tumors,0
"16. Regarding the characteristics of the orbital X-ray, which is correct (  )","C. It can show lacrimal glands, optic nerve holes, upper orbital cracks, butterfly bones",1
"16. Regarding the characteristics of the orbital X-ray, which is correct (  )",D. The disappearance of the unknown line represents more malignant tumors,0
"16. Regarding the characteristics of the orbital X-ray, which is correct (  )","E. If there is tissue calcification in the orbit, most of the benign lesions",0
17. Acute tendonitis will not form (  ),A. Tearspool fistula,0
17. Acute tendonitis will not form (  ),B. Before the first honeycomb wovenitis,0
17. Acute tendonitis will not form (  ),C. Tears mucus cysts,1
17. Acute tendonitis will not form (  ),D. Tear sac abscess,0
17. Acute tendonitis will not form (  ),E. Pyxiaxia,0
18. Skin-like cysts are from (  ),A. Epidermal outer embryo during the embryo period,1
18. Skin-like cysts are from (  ),B. Embryoe in the embryo period,0
18. Skin-like cysts are from (  ),C. Embryoe in the embryonic epidermis,0
18. Skin-like cysts are from (  ),D. Embroidery in the embryo period,0
18. Skin-like cysts are from (  ),E. Cerebal nerve spine cells,0
19. Fighting eyeballs are most common in (  ),A. Emperor Eye Evhalosis,0
19. Fighting eyeballs are most common in (  ),B. inflammatory fake tumor,0
19. Fighting eyeballs are most common in (  ),C. Eye vein song,0
19. Fighting eyeballs are most common in (  ),D. Cervical cavernous sinus fistula fistula,1
19. Fighting eyeballs are most common in (  ),E. sponge hemangioma,0
20. The most common benign tumor in adults is (  ),A. Sponge-like hemangioma,1
20. The most common benign tumor in adults is (  ),B. Gelatinoma,0
20. The most common benign tumor in adults is (  ),C. Skin-like cyst,0
20. The most common benign tumor in adults is (  ),D. Horizontal muscle sarcoma,0
20. The most common benign tumor in adults is (  ),E. inflammatory fake tumor,0
"21. Regarding the diagnosis of idiopathic orbital myositis and thyroid-related eye disease, the following statement is incorrect (  )","A. Eidalitis is more common in single-eye, and thyroid-related eye diseases are more common in eye diseases",0
"21. Regarding the diagnosis of idiopathic orbital myositis and thyroid-related eye disease, the following statement is incorrect (  )","B. Ezon muscle muscles are thickened in the whole stage, and thyroid-related eye diseases are dominated by muscle abdomen thickening",0
"21. Regarding the diagnosis of idiopathic orbital myositis and thyroid-related eye disease, the following statement is incorrect (  )",C. Patients with thyroid-related eye diseases often have symptoms such as eyelid retracting and stagnation. Patients with orbital myositis have no abnormal eyelids,0
"21. Regarding the diagnosis of idiopathic orbital myositis and thyroid-related eye disease, the following statement is incorrect (  )",D. Patients with thyroid-related ophthalmic patients with a sclera on congestion at the muscle attachment of the muscles of the muscle attachment in the muscle attachment of the orbital muscle inflammation,1
"21. Regarding the diagnosis of idiopathic orbital myositis and thyroid-related eye disease, the following statement is incorrect (  )",E. Eye myositis and thyroid-related eye disease patients can be treated with glucocorticoids,0
22. The following is not a malignant tumor of the lacrimal glands performing (  ),A. The eyeball is prominent and rapidly developing,0
22. The following is not a malignant tumor of the lacrimal glands performing (  ),B. Lower eyelid drooping,0
22. The following is not a malignant tumor of the lacrimal glands performing (  ),C. Local pain,0
22. The following is not a malignant tumor of the lacrimal glands performing (  ),D. Limited to the eyeball,0
22. The following is not a malignant tumor of the lacrimal glands performing (  ),E. Visual function has no significant effect,1
"23. Related to the ingredients of squamous blepharitis, the wrong thing is (  )",A. Chronic inflammation caused by sebum overflow of the eyelid margin,0
"23. Related to the ingredients of squamous blepharitis, the wrong thing is (  )",B. The affected area can often find ovarian dandruff and bacteria,0
"23. Related to the ingredients of squamous blepharitis, the wrong thing is (  )","C. Relansous, malnutrition can induce the disease",0
"23. Related to the ingredients of squamous blepharitis, the wrong thing is (  )",D. Long-term use of inferior cosmetics can induce the disease,0
"23. Related to the ingredients of squamous blepharitis, the wrong thing is (  )",E. Eyeglasses are easy to fall off and cannot be regenerated,1
"24. About diseases within the muscle cone and external to the muscle cone, which statement is incorrect?","A. Tumors are more commonly seen in diseases within the muscle cone, while inflammation is more commonly seen in diseases external to the muscle cone.",1
"24. About diseases within the muscle cone and external to the muscle cone, which statement is incorrect?",B. Disorders within the muscle cone often result in protrusion of the eyeballs in the forward direction.,0
"24. About diseases within the muscle cone and external to the muscle cone, which statement is incorrect?",C. Disorders external to the muscle cone often result in displacement of the eyeballs towards the affected side.,0
"24. About diseases within the muscle cone and external to the muscle cone, which statement is incorrect?",D. Both diseases within the muscle cone and external to the muscle cone can cause movement disorders.,0
"24. About diseases within the muscle cone and external to the muscle cone, which statement is incorrect?","E. Compared to diseases external to the muscle cone, diseases within the muscle cone are more likely to affect vision in the early stages.",0
"25. Before the examination of eye trauma examination, inquire the medical history, including (  )","A. When, how to be injured, and cause the storm",0
"25. Before the examination of eye trauma examination, inquire the medical history, including (  )",B. Whether there is a possibility of foreign matter in the eyes,0
"25. Before the examination of eye trauma examination, inquire the medical history, including (  )",C. The state of the eye before the injury,0
"25. Before the examination of eye trauma examination, inquire the medical history, including (  )","D. Urgent diagnosis ( TAT injection, antibiotics, etc.)",0
"25. Before the examination of eye trauma examination, inquire the medical history, including (  )",E. The above items are all,1
26. The main reason for infants and young children to spill tears is (  ),A. Conjacusitis,0
26. The main reason for infants and young children to spill tears is (  ),B. Congenital tears small lock lock,0
26. The main reason for infants and young children to spill tears is (  ),C. Congenital tear pipes atresia,0
26. The main reason for infants and young children to spill tears is (  ),D. Increase tear secretion,0
26. The main reason for infants and young children to spill tears is (  ),E. Nasal nasal tube dysplasia,1
27. The main symptom of orbital tumor is (  ),A. congestion,0
27. The main symptom of orbital tumor is (  ),B. edema,0
27. The main symptom of orbital tumor is (  ),C. Eye pain,0
27. The main symptom of orbital tumor is (  ),D. Eye,1
27. The main symptom of orbital tumor is (  ),E. Review,0
28. The following is not the cause of acute tear adenitis (  ),A. Popular mumps,0
28. The following is not the cause of acute tear adenitis (  ),B. The inflammation of the wound or neighboring tissue of the lacrimal glands spread,0
28. The following is not the cause of acute tear adenitis (  ),C. Acute conjunctivitis,0
28. The following is not the cause of acute tear adenitis (  ),D. Blood in the distance to metastasize infections,0
28. The following is not the cause of acute tear adenitis (  ),E.hasner petal block,1
29. Which of the following is the normal value of the eyeball protrusion (  ),A.11 ～ 13 mm,0
29. Which of the following is the normal value of the eyeball protrusion (  ),B.12 ～ 13 mm,0
29. Which of the following is the normal value of the eyeball protrusion (  ),C.12 ～ 14 mm,1
29. Which of the following is the normal value of the eyeball protrusion (  ),D.12 ～ 15 mm,0
29. Which of the following is the normal value of the eyeball protrusion (  ),E.11 ～ 15 mm,0
30. The characteristics of alkaline burns are (  ),A. Make tissue protein coagulation and bad,0
30. The characteristics of alkaline burns are (  ),B. Missing tissue necrosis,0
30. The characteristics of alkaline burns are (  ),C. Can dissolve fat and protein and make cells decompose necrosis,1
30. The characteristics of alkaline burns are (  ),D. Slow off the corneal epithelial point,0
30. The characteristics of alkaline burns are (  ),E. Destroy endothelial cells,0
31. The malignant tumor of the eyelids that are not sensitive to radiation therapy is (  ),A. Symagonistic cancer,1
31. The malignant tumor of the eyelids that are not sensitive to radiation therapy is (  ),B. Symbolic cell carcinoma,0
31. The malignant tumor of the eyelids that are not sensitive to radiation therapy is (  ),C. Basal cell carcinoma,0
31. The malignant tumor of the eyelids that are not sensitive to radiation therapy is (  ),D. Malignant melanoma,0
31. The malignant tumor of the eyelids that are not sensitive to radiation therapy is (  ),E. Keythexic tumor,0
32. The four joint signs of typical cashmere meningiomas do not include (  ),A. Eye outstanding,0
32. The four joint signs of typical cashmere meningiomas do not include (  ),B. Lost vision,0
32. The four joint signs of typical cashmere meningiomas do not include (  ),C. Chronic visual nipple edema,0
32. The four joint signs of typical cashmere meningiomas do not include (  ),D. Cranial metastases,1
32. The four joint signs of typical cashmere meningiomas do not include (  ),E. Visual short-circuit blood vessel formation,0
33. Congenital tears lacks are mainly found in (  ),A.Behcet disease,0
33. Congenital tears lacks are mainly found in (  ),B.best disease,0
33. Congenital tears lacks are mainly found in (  ),C.Coats disease,0
33. Congenital tears lacks are mainly found in (  ),D.Steven-Johnson syndrome,0
33. Congenital tears lacks are mainly found in (  ),E.Riley-DAY syndrome,1
"34. For obtaining tear ducts, you should focus on the medical history, including (  )",A. History of local medicine,0
"34. For obtaining tear ducts, you should focus on the medical history, including (  )",B. History of Eye Diseases,0
"34. For obtaining tear ducts, you should focus on the medical history, including (  )",C. History of Face-faced Nose Trauma,0
"34. For obtaining tear ducts, you should focus on the medical history, including (  )",D. History of Sandylonia,0
"34. For obtaining tear ducts, you should focus on the medical history, including (  )",E. The above are all,1
35. The most prone to far-distance transfer and the worst prognosis is (  ),A. Eye keratinized acanthoma tumor,0
35. The most prone to far-distance transfer and the worst prognosis is (  ),B. Eye base cell carcinoma,0
35. The most prone to far-distance transfer and the worst prognosis is (  ),C. Eyeline-like cell papilloma,0
35. The most prone to far-distance transfer and the worst prognosis is (  ),D. Eye sebaceous gland glandular cancer,1
35. The most prone to far-distance transfer and the worst prognosis is (  ),E. Eye-like epithelial cell carcinoma carcinoma,0
36. The preferred treatment method for skeletal muscle sarcoma is (  ),A. Objective content,0
36. The preferred treatment method for skeletal muscle sarcoma is (  ),B. The combination of radiotherapy and chemotherapy,1
36. The preferred treatment method for skeletal muscle sarcoma is (  ),C. radiotherapy,0
36. The preferred treatment method for skeletal muscle sarcoma is (  ),D. Chemotherapy,0
36. The preferred treatment method for skeletal muscle sarcoma is (  ),E. Surgical treatment,0
37. The incorrect treatment in the treatment of exposure to epilepsy is (  ),A. Physiological saline wet compress,0
37. The incorrect treatment in the treatment of exposure to epilepsy is (  ),B. Glucocortic hormone eye drops,0
37. The incorrect treatment in the treatment of exposure to epilepsy is (  ),C. Glucocortic hormone eye ointment,0
37. The incorrect treatment in the treatment of exposure to epilepsy is (  ),D. Orally Tomatsu if necessary,0
37. The incorrect treatment in the treatment of exposure to epilepsy is (  ),E. Bringing affected eyes to avoid contact with the allergen,1
38. Sandobe can cause (  ),A. Scarring eyelid turning,1
38. Sandobe can cause (  ),B. Spasm eye turning in the eyelid,0
38. Sandobe can cause (  ),C. Scarring Eye Verprration,0
38. Sandobe can cause (  ),D. Paralyzed eyelid revelation,0
38. Sandobe can cause (  ),E. Mechanical eyelid turning,0
39. The serious complications of orbital cellulitis are (  ),A. Review,0
39. The serious complications of orbital cellulitis are (  ),B. Eye outstanding eyesight,0
39. The serious complications of orbital cellulitis are (  ),C. Optophyte atrophy,0
39. The serious complications of orbital cellulitis are (  ),D. Eye abscess,0
39. The serious complications of orbital cellulitis are (  ),E. Infection expansion to intracranial,1
"40. The typical ""S"" shape of the upper eyelid is bent in (  )",A. Chronic lacrimal glands,0
"40. The typical ""S"" shape of the upper eyelid is bent in (  )",B. Acute tear glands,1
"40. The typical ""S"" shape of the upper eyelid is bent in (  )",C. Lacrimal glands mixed tumor,0
"40. The typical ""S"" shape of the upper eyelid is bent in (  )",D. Gland -like cystic cancer,0
"40. The typical ""S"" shape of the upper eyelid is bent in (  )",E. Chronic lacrimal cystitis,0
41. The main cause of chronic tendonitis is (  ),A. tear tube blocking,0
41. The main cause of chronic tendonitis is (  ),B. Tears narrow,0
41. The main cause of chronic tendonitis is (  ),C. Tears closed,0
41. The main cause of chronic tendonitis is (  ),D. tear pipe obstruction,0
41. The main cause of chronic tendonitis is (  ),E. Nasive and sarcasm obstruction or narrow,1
42. The characteristics of the following internal split skin are wrong (  ) (  ),A. It is more common in middle-aged and elderly people,1
42. The characteristics of the following internal split skin are wrong (  ) (  ),B. Can be coupled with drooping upper eyelid,0
42. The characteristics of the following internal split skin are wrong (  ) (  ),C. Most of the lesions are located on the upper eyelid near the inner corner skin,0
42. The characteristics of the following internal split skin are wrong (  ) (  ),D. Most of them are bilateral onset,0
42. The characteristics of the following internal split skin are wrong (  ) (  ),E. No treatment,0
43. Which one is not one of the four gaps of the eyes (  ),A. Overseas gap,0
43. Which one is not one of the four gaps of the eyes (  ),B. outer gap in muscle cone,0
43. Which one is not one of the four gaps of the eyes (  ),C. Inner space of muscle cone,0
43. Which one is not one of the four gaps of the eyes (  ),D.tenon ’s pocket,1
43. Which one is not one of the four gaps of the eyes (  ),E. The gap between the fascia and the eyeballs of the eyeball,0
44. Skin-like cysts are best occurred in (  ),A. Inner orbital edge,0
44. Skin-like cysts are best occurred in (  ),B. Inner orbital edge,0
44. Skin-like cysts are best occurred in (  ),C.,0
44. Skin-like cysts are best occurred in (  ),D. outer orbital edge,1
44. Skin-like cysts are best occurred in (  ),E. Inside the muscle cone,0
45. Elderly meibomian gland cysts have recurred twice after surgery. Then(  ),A. The surgery is not removed and cleaned,0
45. Elderly meibomian gland cysts have recurred twice after surgery. Then(  ),B. Pharmaceutical meibomianica cancer,1
45. Elderly meibomian gland cysts have recurred twice after surgery. Then(  ),C. Secondary infection,0
45. Elderly meibomian gland cysts have recurred twice after surgery. Then(  ),D. Local scar hyperplasia,0
45. Elderly meibomian gland cysts have recurred twice after surgery. Then(  ),E. Breight glands secrete strong,0
46. Which type of pathological is the best prognosis (  ),A. embryo,0
46. Which type of pathological is the best prognosis (  ),B. Small bubble leaf type,0
46. Which type of pathological is the best prognosis (  ),C. Poly-sex,1
46. Which type of pathological is the best prognosis (  ),D. epithelial type,0
46. Which type of pathological is the best prognosis (  ),E. Intersection,0
47. Acute tendonitis should not be processed by the following (  ),A. Hot compress,0
47. Acute tendonitis should not be processed by the following (  ),B. Antibiotic eye fluid for local drops,0
47. Acute tendonitis should not be processed by the following (  ),C. Syringing of lacrimal passages,1
47. Acute tendonitis should not be processed by the following (  ),D. Cut open pus,0
47. Acute tendonitis should not be processed by the following (  ),E. Antibiotic application of the whole body,0
48. Scarring eyelids are most common in (  ),A. Conjacusitis,0
48. Scarring eyelids are most common in (  ),B. Lower eyelid drooping,0
48. Scarring eyelids are most common in (  ),C. sandylona,1
48. Scarring eyelids are most common in (  ),D. Inner wheat enlargement,0
48. Scarring eyelids are most common in (  ),E. Marrator adenocarcinoma,0
49. The possible cause of ulcerative blepharitis is (  ),A. The sebum overflow of the eyelid margin,0
49. The possible cause of ulcerative blepharitis is (  ),B. Staphylococcus aureus infection,1
49. The possible cause of ulcerative blepharitis is (  ),C. Momo-Aibulobacar infection,0
49. The possible cause of ulcerative blepharitis is (  ),D. Perverted reaction,0
49. The possible cause of ulcerative blepharitis is (  ),E. Conclusion inflammation spread,0
50. The characteristics of leather-like cysts do not include (  ),"A. It is more common in children and adolescents, often manifested as prominent and shifting",0
50. The characteristics of leather-like cysts do not include (  ),"B. Slow development, there are no conscious symptoms",0
50. The characteristics of leather-like cysts do not include (  ),"C. The lump is smooth, the border is clear, slightly flexible, sticky with the skin, poor activity",1
50. The characteristics of leather-like cysts do not include (  ),"D. The lump can contain hair, fat and other objects",0
50. The characteristics of leather-like cysts do not include (  ),E. It is a cyst formed by the embryonic epidermal outer embryo.,0
51. The benign tumor of the most common tear septum is (  ),A. mucus adenoma,0
51. The benign tumor of the most common tear septum is (  ),B. Popular tumor,1
51. The benign tumor of the most common tear septum is (  ),C. Hemangioma,0
51. The benign tumor of the most common tear septum is (  ),D. Poor mole,0
51. The benign tumor of the most common tear septum is (  ),E. Skin -like swollen,0
52. The description of the positive vision of the congenital upper eyelid inferiority is wrong (  ),"A. Once the amblyopia is formed, it should be surgery as soon as possible",0
52. The description of the positive vision of the congenital upper eyelid inferiority is wrong (  ),B. All caused by the upper eyelid covering the pupils,1
52. The description of the positive vision of the congenital upper eyelid inferiority is wrong (  ),C. About 25%of children have amblyopia,0
52. The description of the positive vision of the congenital upper eyelid inferiority is wrong (  ),D. Related to the refractive,0
52. The description of the positive vision of the congenital upper eyelid inferiority is wrong (  ),E. High astigmatism is related,0
"53. Regarding capillary hemangioma, the statement is wrong (  )",A. It is the most common eyelid benign tumor for infants and young children,0
"53. Regarding capillary hemangioma, the statement is wrong (  )","B. When the skin is deep, it is often purple and blue",0
"53. Regarding capillary hemangioma, the statement is wrong (  )","C. Once found, it can be removed immediately",1
"53. Regarding capillary hemangioma, the statement is wrong (  )",D. Seeing hemangioma can retreat by itself,0
"53. Regarding capillary hemangioma, the statement is wrong (  )",E. The preferred treatment method is the local injection of glucocorticoids,0
54. The incidence rate of the first eyelid vicious tumor is (  ),A. Basal cell carcinoma,1
54. The incidence rate of the first eyelid vicious tumor is (  ),B. Malignant melanoma,0
54. The incidence rate of the first eyelid vicious tumor is (  ),C. Symagonistic cancer,0
54. The incidence rate of the first eyelid vicious tumor is (  ),D. Symbolic cell carcinoma,0
54. The incidence rate of the first eyelid vicious tumor is (  ),E. Infectious warts,0
55. The clinical manifestation of not in line with congenital eyelid defects is (  ),"A. The shape of the defect is mostly triangular, and the base is located on the eyelid margin",0
55. The clinical manifestation of not in line with congenital eyelid defects is (  ),B. Most of them are monocular onset,0
55. The clinical manifestation of not in line with congenital eyelid defects is (  ),C. Most of it is common in the eyelids,1
55. The clinical manifestation of not in line with congenital eyelid defects is (  ),D. Disables are most common in the inner part of the central part,0
55. The clinical manifestation of not in line with congenital eyelid defects is (  ),E. Large defects can cause corneal ulcers,0
56. The advantages of MRI eye images are not right (  ),A. There is no X-ray radiation effect on the crystal body,0
56. The advantages of MRI eye images are not right (  ),B. Can be directly used in multiple aspects,0
56. The advantages of MRI eye images are not right (  ),"C. Strong signal of bone structure, calcification stove and foreign body",1
56. The advantages of MRI eye images are not right (  ),D. Have a highly clear resolution of soft tissue,0
56. The advantages of MRI eye images are not right (  ),"E.MRI has a high resolution of soft tissue such as orbital content, optic nerve, and vision intercourse",0
"57. When rinsing the tear duct, the flushing fluid returns from the tears, and the block may be (  )",A. Tears,0
"57. When rinsing the tear duct, the flushing fluid returns from the tears, and the block may be (  )",B. Nasive tube,0
"57. When rinsing the tear duct, the flushing fluid returns from the tears, and the block may be (  )",C. Tears,1
"57. When rinsing the tear duct, the flushing fluid returns from the tears, and the block may be (  )",D. Tears small pipe,0
"57. When rinsing the tear duct, the flushing fluid returns from the tears, and the block may be (  )",E. The above is possible,0
58. The complications of ulcerative blepharitis include (  ),A. Cosmetic eyelashes,0
58. The complications of ulcerative blepharitis include (  ),B. Eye revelation,0
58. The complications of ulcerative blepharitis include (  ),C. Tears overflow,0
58. The complications of ulcerative blepharitis include (  ),D. lower eyelid eczema,0
58. The complications of ulcerative blepharitis include (  ),E. The above are all,1
59. Lacrimal tumors make the eyeball (  ),A. Behaviole forward,0
59. Lacrimal tumors make the eyeball (  ),B. Shift to the top of the temporal,0
59. Lacrimal tumors make the eyeball (  ),C. Shift to the temporal,0
59. Lacrimal tumors make the eyeball (  ),D. Shift to the top,0
59. Lacrimal tumors make the eyeball (  ),E. Shift to the nose,1
60. The most important thing for the treatment of orbital cellulitis is (  ),A. Treatment of primary stove,0
60. The most important thing for the treatment of orbital cellulitis is (  ),B. Active surgery,0
60. The most important thing for the treatment of orbital cellulitis is (  ),C. Appropriate corticosteroid treatment,0
60. The most important thing for the treatment of orbital cellulitis is (  ),D. Full amount of broad-spectrum antibiotics,1
60. The most important thing for the treatment of orbital cellulitis is (  ),E. Local strengthening of eye fluid and eye ointment to resist inflammation,0
61. What belongs to the foundation is (  ),A. Plum glands,0
61. What belongs to the foundation is (  ),B. Posten gland,0
61. What belongs to the foundation is (  ),C. Conclusion cup-shaped cells,0
61. What belongs to the foundation is (  ),D.zeis glands,0
61. What belongs to the foundation is (  ),E. The above are all,1
62. Except for the typical eye performance of thyroid-related eye disease (  ),A. Eyeline shrinkage,0
62. Except for the typical eye performance of thyroid-related eye disease (  ),B. The upper eyelid is late,0
62. Except for the typical eye performance of thyroid-related eye disease (  ),C. Eyes prominent,0
62. Except for the typical eye performance of thyroid-related eye disease (  ),"D. Disorders, restraint",0
62. Except for the typical eye performance of thyroid-related eye disease (  ),E. Perial membrane vascular spiral expansion,1
63. The most common pathogenic bacteria of acute dacryocystitis are (  ),A. White Candida,0
63. The most common pathogenic bacteria of acute dacryocystitis are (  ),B. Shigaji,0
63. The most common pathogenic bacteria of acute dacryocystitis are (  ),C. Fluentalobacteriobacterium,0
63. The most common pathogenic bacteria of acute dacryocystitis are (  ),D. Staphylococcus aureus,1
63. The most common pathogenic bacteria of acute dacryocystitis are (  ),E. Momo-Aibly,0
64. The second place to occupy the malignant tumor of the eyelids in my country is (  ),A. yellow tumor,0
64. The second place to occupy the malignant tumor of the eyelids in my country is (  ),B. Eye hemangioma,0
64. The second place to occupy the malignant tumor of the eyelids in my country is (  ),C. Basal cell carcinoma,0
64. The second place to occupy the malignant tumor of the eyelids in my country is (  ),D. Symbolic cell carcinoma,0
64. The second place to occupy the malignant tumor of the eyelids in my country is (  ),E. sebaceous glandular cancer,1
65. Except the main treatment measures for thyroid-related eye diseases (  ),A. Eye protection treatment,0
65. Except the main treatment measures for thyroid-related eye diseases (  ),B. Drug anti-infection treatment,0
65. Except the main treatment measures for thyroid-related eye diseases (  ),C. Objective pressure,0
65. Except the main treatment measures for thyroid-related eye diseases (  ),D. Cut the optic nervous sheath,1
65. Except the main treatment measures for thyroid-related eye diseases (  ),E. Radiation therapy,0
66. The most common pathogenic bacteria for hordeolum are (  ),A. Chain bacteria,0
66. The most common pathogenic bacteria for hordeolum are (  ),B. Staphylococcus aureus,1
66. The most common pathogenic bacteria for hordeolum are (  ),C. Mo-Aibulobacar,0
66. The most common pathogenic bacteria for hordeolum are (  ),D. fungi,0
66. The most common pathogenic bacteria for hordeolum are (  ),E. Copper Green Pseudolysis,0
